id,ticker,name,sector,probability,up,down
117,CME,CME Group,Financials,0.5055,1.01,0.99
45,APA,APA Corporation,Energy,0.4965,1.027,0.974
145,DXCM,DexCom,Health Care,0.4993,1.02,0.9808
418,LUV,Southwest Airlines,Industrials,0.5012,1.016,0.9844
444,TRV,The Travelers Companies,Financials,0.5062,1.009,0.9906
282,LVS,Las Vegas Sands,Consumer Discretionary,0.4999,1.018,0.9819
275,KLAC,KLA Corporation,Information Technology,0.5005,1.017,0.9832
337,NI,NiSource,Utilities,0.5067,1.009,0.991
342,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.4967,1.026,0.9747
393,O,Realty Income Corporation,Real Estate,0.5061,1.01,0.9905
457,UDR,UDR,Real Estate,0.5057,1.01,0.9902
460,UA,Under Armour (Class C),Consumer Discretionary,0.499,1.02,0.9802
363,PNR,Pentair,Industrials,0.5039,1.012,0.9883
378,PGR,Progressive Corporation,Financials,0.5058,1.01,0.9903
351,OMC,Omnicom Group,Communication Services,0.5037,1.012,0.9881
158,DTE,DTE Energy,Utilities,0.507,1.009,0.9913
218,GILD,Gilead Sciences,Health Care,0.505,1.011,0.9895
176,EQIX,Equinix,Real Estate,0.5039,1.012,0.9883
437,TSLA,Tesla,Consumer Discretionary,0.4965,1.027,0.974
148,DFS,Discover Financial Services,Financials,0.501,1.016,0.984
92,CAT,Caterpillar,Industrials,0.5025,1.014,0.9864
36,AMP,Ameriprise Financial,Financials,0.5022,1.014,0.986
469,VRSN,Verisign,Information Technology,0.5051,1.011,0.9896
451,TRMB,Trimble,Information Technology,0.5019,1.015,0.9856
118,CMS,CMS Energy,Utilities,0.5074,1.009,0.9915
162,DXC,DXC Technology,Information Technology,0.4995,1.019,0.9812
494,WHR,Whirlpool Corporation,Consumer Discretionary,0.5016,1.015,0.985
84,CZR,Caesars Entertainment,Consumer Discretionary,0.4972,1.025,0.976
7,ATVI,Activision Blizzard,Communication Services,0.5032,1.013,0.9874
203,FTV,Fortive,Industrials,0.5045,1.011,0.989
25,GOOG,Alphabet (Class C),Communication Services,0.504,1.012,0.9884
95,CDW,CDW,Information Technology,0.5036,1.012,0.9879
292,LOW,Lowe's,Consumer Discretionary,0.5035,1.012,0.9879
353,ORCL,Oracle,Information Technology,0.5053,1.01,0.9898
232,HD,Home Depot,Consumer Discretionary,0.5056,1.01,0.9901
93,CBOE,Cboe Global Markets,Financials,0.5052,1.01,0.9897
296,MRO,Marathon Oil,Energy,0.4974,1.024,0.9765
304,MTCH,Match Group,Communication Services,0.4974,1.024,0.9763
18,ALB,Albemarle Corporation,Materials,0.4994,1.019,0.9811
240,HII,Huntington Ingalls Industries,Industrials,0.5037,1.012,0.988
476,V,Visa,Information Technology,0.5048,1.011,0.9893
147,DLR,Digital Realty Trust,Real Estate,0.5045,1.011,0.989
16,AKAM,Akamai Technologies,Information Technology,0.5046,1.011,0.989
370,PNW,Pinnacle West Capital,Utilities,0.5063,1.009,0.9907
415,SWKS,Skyworks Solutions,Information Technology,0.5011,1.016,0.9842
287,LIN,Linde,Materials,0.5046,1.011,0.9891
349,OXY,Occidental Petroleum,Energy,0.4981,1.022,0.9781
19,ARE,Alexandria Real Estate Equities,Real Estate,0.506,1.01,0.9905
44,AON,Aon,Financials,0.5064,1.009,0.9908
266,JPM,JPMorgan Chase,Financials,0.504,1.012,0.9884
217,GPC,Genuine Parts,Consumer Discretionary,0.5048,1.011,0.9893
31,AEP,American Electric Power,Utilities,0.5074,1.008,0.9916
146,FANG,Diamondback Energy,Energy,0.4976,1.024,0.977
368,PM,Philip Morris International,Consumer Staples,0.5061,1.01,0.9906
489,WST,West Pharmaceutical Services,Health Care,0.5034,1.012,0.9877
